image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.922831,car,car,True
drive_022,2,4,0.753712,car,car,True
drive_022,3,5,0.923238,truck,bus,False
drive_022,4,2,0.91603,bus,van,False
drive_022,5,3,0.793949,car,car,True
drive_033,1,10,0.770146,car,car,True
drive_033,2,1,0.986624,bus,van,False
drive_033,3,2,0.855233,truck,bus,False
drive_033,4,11,0.898401,car,car,True
drive_033,5,12,0.939242,car,van,False
drive_033,6,8,0.893571,car,car,True
drive_033,7,6,0.861397,car,car,True
drive_033,10,7,0.839763,car,car,True
drive_033,11,3,0.829793,car,car,True
drive_033,12,4,0.736279,car,car,True
drive_033,14,9,0.870853,car,car,True
drive_033,15,5,0.896323,car,car,True
drive_038,5,16,0.900631,car,car,True
drive_038,6,17,0.933064,car,car,True
drive_038,7,15,0.899111,van,truck,False
drive_038,8,9,0.92287,truck,bus,False
drive_038,9,8,0.862883,car,car,True
drive_038,10,7,0.849572,car,car,True
drive_038,11,6,0.863911,car,car,True
drive_038,12,14,0.851618,car,car,True
drive_038,13,13,0.807523,car,car,True
drive_038,14,10,0.814957,car,car,True
drive_038,15,12,0.636035,car,car,True
drive_038,16,11,0.794727,car,car,True
drive_038,35,2,0.921876,car,car,True
drive_038,36,1,0.984939,car,car,True
drive_038,37,3,0.917774,car,car,True
drive_038,38,4,0.92786,car,car,True
drive_038,39,5,0.901102,car,bus,False
drive_008,1,11,0.941536,car,car,True
drive_008,2,4,0.932522,car,car,True
drive_008,3,6,0.916678,car,car,True
drive_008,5,3,0.927503,van,truck,False
drive_008,7,1,0.813665,truck,bus,False
drive_008,8,9,0.96664,bus,van,False
drive_008,11,7,0.834069,car,car,True
drive_008,12,13,0.664052,car,car,True
drive_008,13,14,0.835203,car,car,True
drive_008,14,15,0.38471,car,car,True
drive_008,27,2,0.919813,car,car,True
drive_008,28,5,0.869348,van,truck,False
drive_008,30,16,0.910912,car,car,True
drive_008,31,12,0.885343,van,truck,False
